Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
PCB + stencil,all components are on this,5,8,https://jlcpcb.com,jlcpcb
ALL components,all components that are on pcb,1,10,https://lcsc.com,lcsc
,,Total cost,38,,
