Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C4, C6, C7",0402,4,100nF,C152814
"C2, C5",0603,2,1uF,C519560
C3,0805,1,10uF,C5137471
J1,PinHeader_1x06_P2.54mm_Vertical,1,Conn_01x06,
R2,0603,1,100K,C2907088
"R3, R4",0402,2,4.7K,C48392572
TP1,SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,1,TestPoint_2Pole,
U1,LGA-14L_L3.0-W2.5-P0.50-TL,1,LSM6DSOXTR,C481766
U2,SOT-25-5_L3.0-W1.8-P0.95-LS3.0-BR,1,XC6228D332VR-G,C69841
